"","setup","n","p","sigma","S","T","X","U","R","RS","oracle"
"74","5","1000","6","1","0.62058186","2.09739762","0.74478906","0.60616231","0.58701319","0.53072320","0.16403893"
"75","5","1000","6","2","0.72633388","2.59885083","0.91927012","0.64217644","0.70773662","0.58813822","0.36743168"
"76","5","1000","6","4","0.98007777","3.56755479","1.34801794","0.75358187","0.91636534","0.70537864","0.73089009"
"77","5","1000","12","0.5","0.54896027","2.23533033","0.70769713","0.59804547","0.54599791","0.54743675","0.10160991"
"78","5","1000","12","1","0.59250994","2.34995540","0.75942102","0.60934828","0.55680763","0.55243211","0.18148525"
"79","5","1000","12","2","0.65314775","2.50438727","0.88645416","0.67531020","0.68696065","0.59486758","0.41382111"
"80","5","1000","12","4","0.85717200","2.59002513","1.09012909","0.84659947","0.85212068","0.71441091","0.79503299"
"81","6","500","6","0.5","0.09634192","0.09447326","0.08949354","0.27535731","0.10313587","0.13022295","0.08931691"
"82","6","500","6","1","0.17058071","0.15943404","0.15617600","0.47659948","0.20156352","0.32438590","0.20401277"
"83","6","500","6","2","0.41394934","0.35303655","0.34783179","0.57041883","0.46356003","0.52563477","0.47503231"
"84","6","500","6","4","0.82086049","0.80005072","0.71752404","0.75680743","0.88019266","0.68009016","0.82476880"
"85","6","500","12","0.5","0.09292624","0.09188101","0.08475363","0.25243540","0.10825032","0.16471777","0.10213385"
"86","6","500","12","1","0.18834822","0.16239661","0.16690009","0.48461664","0.22510023","0.40763040","0.24509193"
"87","6","500","12","2","0.46933490","0.37897737","0.38478334","0.58542328","0.49261550","0.54045690","0.50095107"
"88","6","500","12","4","0.81938941","0.79968855","0.71381298","0.81203318","0.86411214","0.65404797","0.85493594"
"89","6","1000","6","0.5","0.06784758","0.06757442","0.06653258","0.20461466","0.06254397","0.07831398","0.05620347"
"90","6","1000","6","1","0.10593492","0.10077014","0.09793539","0.39354930","0.11867820","0.17612721","0.12136121"
"91","6","1000","6","2","0.24802717","0.21522543","0.21628565","0.53248517","0.29011810","0.43369683","0.30946081"
"92","6","1000","6","4","0.61578629","0.53279240","0.50453901","0.64646552","0.61504274","0.57552524","0.62693885"
"93","6","1000","12","0.5","0.06055618","0.06726825","0.05863185","0.17386229","0.06550009","0.09478694","0.06311368"
"94","6","1000","12","1","0.11028557","0.10418293","0.09835554","0.37486545","0.13291754","0.22994376","0.13850703"
"95","6","1000","12","2","0.27148836","0.22405119","0.23832417","0.53837929","0.33907969","0.49356726","0.35375976"
"96","6","1000","12","4","0.62332035","0.54627813","0.51348742","0.69653538","0.63244991","0.58306893","0.64627420"
"97","7","500","6","0.5","0.50938238","0.44972342","0.48655647","0.88729065","0.53406036","0.57169923","0.48891128"
"98","7","500","6","1","0.67424729","0.59044307","0.63329220","1.56032759","0.70448871","0.76429803","0.67656001"
"99","7","500","6","2","1.15136777","0.96427733","1.06130034","1.79271072","1.21334024","1.53792010","1.23262219"
"100","7","500","6","4","1.97782829","1.88189852","1.84062378","2.16376455","1.96099673","1.89017921","2.00429244"
"101","7","500","12","0.5","0.54312677","0.46652299","0.50583890","0.93529719","0.57835261","0.60972353","0.52962573"
"102","7","500","12","1","0.73095502","0.62853243","0.68982888","1.59765284","0.77768548","0.93840211","0.74422443"
"103","7","500","12","2","1.33165367","1.09097623","1.17525465","1.81443374","1.31131250","1.72635126","1.32104265"
"104","7","500","12","4","2.03781222","1.95151343","1.93100480","2.10868024","2.14659288","1.90388749","2.04587605"
"105","7","1000","6","0.5","0.41229600","0.38885844","0.40332866","0.64800943","0.42322699","0.43512211","0.39461629"
"106","7","1000","6","1","0.51454977","0.46780605","0.49351207","1.32229913","0.54035263","0.57125185","0.52470073"
"107","7","1000","6","2","0.78908686","0.68886300","0.73794289","1.73665200","0.83239575","1.01066786","0.82265356"
"108","7","1000","6","4","1.54563313","1.31618824","1.35728288","1.87644766","1.57714341","1.76509034","1.61279825"
"109","7","1000","12","0.5","0.43406427","0.39427939","0.41868358","0.65139467","0.45191131","0.47192614","0.42208182"
"110","7","1000","12","1","0.55130022","0.48372162","0.52636520","1.33504941","0.58057872","0.64293072","0.56452446"
"111","7","1000","12","2","0.88421504","0.73380820","0.80703978","1.75359141","0.92109653","1.35346179","0.94203674"
"112","7","1000","12","4","1.65784196","1.46383536","1.47633181","1.89186149","1.72325110","1.81755709","1.68446125"
